,actual,country,date,forecast,impact,new,previous,time
555,1280.0b,CNY,"Wednesday, September 12, 2018",1370.0b,High,CNY New Yuan Loans CNY (AUG),1450.0b,05:00
556,-0.8%,EUR,"Wednesday, September 12, 2018",-0.5%,Low,EUR Euro-Zone Industrial Production s.a. (MoM) (JUL),-0.8%,09:00
557,-0.1%,EUR,"Wednesday, September 12, 2018",1.0%,Medium,EUR Euro-Zone Industrial Production w.d.a. (YoY) (JUL),2.3%,09:00
558,3.3%,CNY,"Wednesday, September 12, 2018",3.9%,Low,CNY Money Supply M0 (YoY) (AUG),3.6%,09:03
559,3.9%,CNY,"Wednesday, September 12, 2018",5.4%,Low,CNY Money Supply M1 (YoY) (AUG),5.1%,09:03
560,-1.8%,USD,"Wednesday, September 12, 2018",,Medium,USD MBA Mortgage Applications (SEP 7),-0.1%,11:00
561,226.12,CAD,"Wednesday, September 12, 2018",,Low,CAD Teranet/National Bank HP Index (AUG),225.57,12:30
562,0.2%,CAD,"Wednesday, September 12, 2018",,Low,CAD Teranet/National Bank HPI (MoM) (AUG),0.8%,12:30
563,1.4%,CAD,"Wednesday, September 12, 2018",,Low,CAD Teranet/National Bank HPI (YoY) (AUG),1.8%,12:30
564,85.5%,CAD,"Wednesday, September 12, 2018",86.9%,Low,CAD Capacity Utilization Rate (2Q),83.7%,12:30
565,-0.1%,USD,"Wednesday, September 12, 2018",0.2%,Low,USD Producer Price Index Final Demand (MoM) (AUG),0.0%,12:30
566,2.8%,USD,"Wednesday, September 12, 2018",3.2%,Low,USD Producer Price Index Final Demand (YoY) (AUG),3.3%,12:30
567,-0.1%,USD,"Wednesday, September 12, 2018",0.2%,Low,USD Producer Price Index Ex Food and Energy (MoM) (AUG),0.1%,12:30
568,2.3%,USD,"Wednesday, September 12, 2018",2.7%,Low,USD Producer Price Index Ex Food and Energy (YoY) (AUG),2.7%,12:30
569,0.1%,USD,"Wednesday, September 12, 2018",0.2%,Low,"USD Producer Price Index Ex Food, Energy, Trade (MoM) (AUG)",0.3%,12:30
570,2.9%,USD,"Wednesday, September 12, 2018",,Low,"USD Producer Price Index Ex Food, Energy, Trade (YoY) (AUG)",2.8%,12:30
571,,USD,"Wednesday, September 12, 2018",,Low,USD Fed's Bullard Speaks to CFA Society Chicago,,13:30
572,-5296k,USD,"Wednesday, September 12, 2018",-2000k,Medium,USD DOE U.S. Crude Oil Inventories (SEP 7),-4302k,14:30
573,-1242k,USD,"Wednesday, September 12, 2018",,Low,USD DOE Cushing OK Crude Inventory (SEP 7),549k,14:30
574,1250k,USD,"Wednesday, September 12, 2018",300k,Low,USD DOE U.S. Gasoline Inventories (SEP 7),1845k,14:30
575,6163k,USD,"Wednesday, September 12, 2018",1750k,Low,USD DOE U.S. Distillate Inventory,3119k,14:30
576,,USD,"Wednesday, September 12, 2018",,Low,USD U.S. to Sell 10-Year Notes,,17:00
577,,USD,"Wednesday, September 12, 2018",,Medium,USD U.S. Federal Reserve Releases Beige Book (SEP 12),,18:00
578,-0.5%,NZD,"Wednesday, September 12, 2018",,Low,NZD Food Prices (MoM) (AUG),0.7%,22:45
579,2.0%,GBP,"Wednesday, September 12, 2018",2.0%,Medium,GBP RICS House Price Balance (AUG),4.0%,23:01
580,3.0%,JPY,"Wednesday, September 12, 2018",3.1%,Low,JPY Domestic Corporate Goods Price Index (YoY) (AUG),3.0%,23:50
581,0.0,JPY,"Wednesday, September 12, 2018",0.1%,Low,JPY Domestic Corporate Goods Price Index (MoM) (AUG),0.4%,23:50
582,11.0%,JPY,"Wednesday, September 12, 2018",5.5%,Low,JPY Machine Orders (MoM) (JUL),-8.8%,23:50
583,13.9%,JPY,"Wednesday, September 12, 2018",4.3%,Medium,JPY Machine Orders (YoY) (JUL),0.3%,23:50
584,4.0%,AUD,"Thursday, September 13, 2018",,Medium,AUD Consumer Inflation Expectation (SEP),4.0%,01:00
585,44.0k,AUD,"Thursday, September 13, 2018",18.0k,High,AUD Employment Change (AUG),-4.3k,01:30
586,5.3%,AUD,"Thursday, September 13, 2018",5.3%,High,AUD Unemployment Rate (AUG),5.3%,01:30
587,33.7k,AUD,"Thursday, September 13, 2018",,Medium,AUD Full Time Employment Change (AUG),20.1k,01:30
588,10.2k,AUD,"Thursday, September 13, 2018",,Low,AUD Part Time Employment Change (AUG),-24.4k,01:30
589,65.7%,AUD,"Thursday, September 13, 2018",65.6%,Low,AUD Participation Rate (AUG),65.6%,01:30
590,2.45,JPY,"Thursday, September 13, 2018",,Low,JPY Tokyo Avg Office Vacancies (AUG),2.58,02:00
591,-28.5%,JPY,"Thursday, September 13, 2018",,Low,JPY Tokyo Condominium Sales (YoY) (AUG),-12.8%,02:30
592,0.1%,EUR,"Thursday, September 13, 2018",0.1%,Low,EUR German Consumer Price Index (MoM) (AUG F),0.1%,06:00
593,2.0%,EUR,"Thursday, September 13, 2018",2.0%,Medium,EUR German Consumer Price Index (YoY) (AUG F),2.0%,06:00
594,1.9%,CNY,"Thursday, September 13, 2018",,Medium,CNY Foreign Direct Investment (YoY) (AUG),14.9%,07:00
595,0.0%,CHF,"Thursday, September 13, 2018",0.0%,Low,CHF Producer & Import Prices (MoM) (AUG),0.1%,07:15
596,3.4%,CHF,"Thursday, September 13, 2018",3.4%,Low,CHF Producer & Import Prices (YoY) (AUG),3.6%,07:15
597,0.750%,GBP,"Thursday, September 13, 2018",0.750%,High,GBP Bank of England Bank Rate (SEP 13),0.750%,11:00
598,435b,GBP,"Thursday, September 13, 2018",435b,High,GBP BOE Asset Purchase Target (SEP),435b,11:00
599,10b,GBP,"Thursday, September 13, 2018",10b,Low,GBP BOE Corporate Bond Target (SEP),10b,11:00
600,,GBP,"Thursday, September 13, 2018",,Medium,GBP BOE's Agents Summary of Business Conditions (SEP),,11:00
601,0.000%,EUR,"Thursday, September 13, 2018",0.000%,High,EUR European Central Bank Rate Decision (SEP 13),0.000%,11:45
602,0.250%,EUR,"Thursday, September 13, 2018",0.250%,High,EUR ECB Marginal Lending Facility (SEP 13),0.250%,11:45
603,-0.400%,EUR,"Thursday, September 13, 2018",-0.400%,High,EUR ECB Deposit Facility Rate (SEP 13),-0.400%,11:45
604,,EUR,"Thursday, September 13, 2018",,High,EUR ECB President Draghi Holds Press Conference in Frankfurt,,12:30
605,0.1%,CAD,"Thursday, September 13, 2018",0.1%,Low,CAD New Housing Price Index (MoM) (JUL),0.1%,12:30
606,0.2%,USD,"Thursday, September 13, 2018",0.3%,Medium,USD Consumer Price Index (MoM) (AUG),0.2%,12:30
607,2.7%,USD,"Thursday, September 13, 2018",2.8%,High,USD Consumer Price Index (YoY) (AUG),2.9%,12:30
608,0.1%,USD,"Thursday, September 13, 2018",0.2%,Medium,USD Consumer Price Index Ex Food and Energy (MoM) (AUG),0.2%,12:30
609,2.2%,USD,"Thursday, September 13, 2018",2.4%,High,USD Consumer Price Index Ex Food and Energy (YoY) (AUG),2.4%,12:30
610,252.146,USD,"Thursday, September 13, 2018",252.396,Low,USD Consumer Price Index n.s.a. (AUG),252.006,12:30
611,258.141,USD,"Thursday, September 13, 2018",258.414,Low,USD Consumer Price Index Core Index s.a. (AUG),257.930,12:30
612,204k,USD,"Thursday, September 13, 2018",210k,Medium,USD Initial Jobless Claims (SEP 8),205k,12:30
613,1696k,USD,"Thursday, September 13, 2018",1710k,Medium,USD Continuing Claims (SEP 1),1711k,12:30
614,0.5%,USD,"Thursday, September 13, 2018",,Medium,USD Real Avg Weekly Earnings (YoY) (AUG),0.1%,12:30
615,0.2%,USD,"Thursday, September 13, 2018",,Medium,USD Real Avg Hourly Earning (YoY) (AUG),-0.1%,12:30
616,,EUR,"Thursday, September 13, 2018",,Medium,EUR ECB Publishes Macroeconomic Projections,,13:30
617,69,USD,"Thursday, September 13, 2018",66,Low,USD EIA Working Natural Gas Implied Flow (SEP 7),63,14:30
618,69,USD,"Thursday, September 13, 2018",66,Low,USD EIA Natural Gas Storage Change (SEP 7),63,14:30
619,,USD,"Thursday, September 13, 2018",,Low,USD U.S. to Sell 30-Year Bonds,,17:00
620,,USD,"Thursday, September 13, 2018",,Low,USD Fed's Bostic Gives Speech on Economy and Monetary Policy,,17:15
621,-214.1b,USD,"Thursday, September 13, 2018",-$211.0b,Medium,USD Monthly Budget Statement (AUG),-$107.7b,18:00
622,52.0,NZD,"Thursday, September 13, 2018",,Medium,NZD BusinessNZ Manufacturing PMI (AUG),51.2,22:30
623,5.0%,CNY,"Friday, September 14, 2018",,Medium,CNY Surveyed Jobless Rate (AUG),5.1%,02:00
624,9.0%,CNY,"Friday, September 14, 2018",8.8%,Medium,CNY Retail Sales (YoY) (AUG),8.8%,02:00
625,9.3%,CNY,"Friday, September 14, 2018",9.3%,Medium,CNY Retail Sales YTD (YoY) (AUG),9.3%,02:00
626,6.1%,CNY,"Friday, September 14, 2018",6.1%,Medium,CNY Industrial Production (YoY) (AUG),6.0%,02:00
627,6.5%,CNY,"Friday, September 14, 2018",6.5%,Medium,CNY Industrial Production YTD (YoY) (AUG),6.6%,02:00
628,5.3%,CNY,"Friday, September 14, 2018",5.6%,Medium,CNY Fixed Assets Ex Rural YTD (YoY) (AUG),5.5%,02:00
629,-0.6%,JPY,"Friday, September 14, 2018",,Low,JPY Industrial Production (MoM) (JUL F),-0.1%,04:30
630,2.2%,JPY,"Friday, September 14, 2018",,Medium,JPY Industrial Production (YoY) (JUL F),2.3%,04:30
631,-0.6%,JPY,"Friday, September 14, 2018",,Low,JPY Capacity Utilization (MoM) (JUL),-2.2%,04:30
632,12.6b,EUR,"Friday, September 14, 2018",16.2b,Low,EUR Euro-Zone Trade Balance s.a. (JUL),16.7b,09:00
633,17.6b,EUR,"Friday, September 14, 2018",,Low,EUR Euro-Zone Trade Balance (euros) (JUL),22.5b,09:00
634,2.2%,EUR,"Friday, September 14, 2018",,Low,EUR Euro-Zone Labour Costs (YoY) (2Q),2.1%,09:00
635,,GBP,"Friday, September 14, 2018",,High,GBP BOE's Carney Speaks in Dublin,,10:00
636,0.1%,USD,"Friday, September 14, 2018",0.4%,High,USD Retail Sales Advance (MoM) (AUG),0.7%,12:30
637,0.3%,USD,"Friday, September 14, 2018",0.5%,Low,USD Retail Sales Ex Auto (MoM) (AUG),0.9%,12:30
638,0.2%,USD,"Friday, September 14, 2018",0.5%,Medium,USD Retail Sales Ex Auto and Gas (AUG),0.9%,12:30
639,0.1%,USD,"Friday, September 14, 2018",0.4%,Medium,USD Retail Sales Control Group (AUG),0.8%,12:30
640,-0.6%,USD,"Friday, September 14, 2018",-0.2%,Low,USD Import Price Index (MoM) (AUG),-0.1%,12:30
641,-0.2%,USD,"Friday, September 14, 2018",-0.2%,Medium,USD Import Price Index ex Petroleum (MoM) (AUG),-0.2%,12:30
642,3.7%,USD,"Friday, September 14, 2018",4.1%,Low,USD Import Price Index (YoY) (AUG),4.9%,12:30
643,-0.1%,USD,"Friday, September 14, 2018",0.0%,Low,USD Export Price Index (MoM) (AUG),-0.5%,12:30
644,3.6%,USD,"Friday, September 14, 2018",,Medium,USD Export Price Index (YoY) (AUG),4.3%,12:30
645,,USD,"Friday, September 14, 2018",,Low,"USD Fed Evans Speaks in Fort Wayne, Indiana",,13:00
646,0.4%,USD,"Friday, September 14, 2018",0.3%,Medium,USD Industrial Production (MoM) (AUG),0.4%,13:15
647,78.1%,USD,"Friday, September 14, 2018",78.2%,Low,USD Capacity Utilization (AUG),77.9%,13:15
648,0.2%,USD,"Friday, September 14, 2018",0.3%,Medium,USD Manufacturing (SIC) Production (AUG),0.3%,13:15
649,,USD,"Friday, September 14, 2018",,Low,USD Fed's Rosengren Speaks at Brookings Confernece,,14:00
650,0.6%,USD,"Friday, September 14, 2018",0.6%,Medium,USD Business Inventories (JUL),0.1%,14:00
651,100.8,USD,"Friday, September 14, 2018",96.6,High,USD U. of Mich. Sentiment (SEP P),96.2,14:00
652,116.1,USD,"Friday, September 14, 2018",,Low,USD U. of Mich. Current Conditions (SEP P),110.3,14:00
653,91.1,USD,"Friday, September 14, 2018",,Low,USD U. of Mich. Expectations (SEP P),87.1,14:00
654,2.8%,USD,"Friday, September 14, 2018",,Low,USD U. of Mich. 1 Yr Inflation (SEP P),3.00%,14:00
655,2.4%,USD,"Friday, September 14, 2018",,Low,USD U. of Mich. 5-10 Yr Inflation (SEP P),2.6%,14:00
656,1055,USD,"Friday, September 14, 2018",,Medium,USD Baker Hughes U.S. Rig Count (SEP 14),1048,17:00
657,1.40%,CNY,"Saturday, September 15, 2018",,Medium,CNY New Home Prices (MoM) (AUG),1.21%,01:30
658,-0.4%,AUD,"Monday, September 3, 2018",,Low,AUD CoreLogic House Px (MoM) (AUG),-0.6%,00:00
659,52.5,JPY,"Monday, September 3, 2018",,Low,JPY Nikkei Japan PMI Manufacturing (AUG F),52.5,00:30
660,0.1%,AUD,"Monday, September 3, 2018",,Low,AUD TD Securities Inflation (MoM) (AUG),0.1%,01:00
661,2.1%,AUD,"Monday, September 3, 2018",,Medium,AUD TD Securities Inflation (YoY) (AUG),2.0%,01:00
662,0.6%,AUD,"Monday, September 3, 2018",0.2%,Low,AUD Inventories SA (QoQ) (2Q),0.8%,01:30
663,2.0%,AUD,"Monday, September 3, 2018",1.3%,Low,AUD Company Operating Profit (QoQ) (2Q),6.5%,01:30
664,-0.6%,AUD,"Monday, September 3, 2018",,Low,AUD ANZ Job Advertisements (MoM) (AUG),1.4%,01:30
665,0.0%,AUD,"Monday, September 3, 2018",0.3%,Low,AUD Retail Sales (MoM) (JUL),0.4%,01:30
666,50.6,CNY,"Monday, September 3, 2018",50.7,Medium,CNY Caixin China PMI Manufacturing (AUG),50.8,01:45
667,-0.2%,JPY,"Monday, September 3, 2018",,Low,JPY Vehicle Sales (YoY) (AUG),1.2%,05:00
668,,JPY,"Monday, September 3, 2018",,High,JPY BOJ Kuroda Speaks at Stock Future 30 Years Anniversary in Tokyo,,05:40
669,6.7%,AUD,"Monday, September 3, 2018",,Low,AUD RBA Commodity Index SDR (YoY) (AUG),7.6%,06:30
670,113.6,AUD,"Monday, September 3, 2018",,Low,AUD Commodity Index AUD (AUG),111.7,06:30
671,,EUR,"Monday, September 3, 2018",,Low,EUR ECB's Mersch Speaks in Paris,,06:30
672,-0.3%,CHF,"Monday, September 3, 2018",,Medium,CHF Retail Sales Real (YoY) (JUL),0.3%,07:15
673,64.8,CHF,"Monday, September 3, 2018",61,Medium,CHF PMI Manufacturing (AUG),61.9,07:30
674,50.1,EUR,"Monday, September 3, 2018",51.2,Low,EUR Markit/ADACI Italy Manufacturing PMI (AUG),51.5,07:45
675,53.5,EUR,"Monday, September 3, 2018",53.7,Low,EUR Markit France Manufacturing PMI (AUG F),53.3,07:50
676,55.9,EUR,"Monday, September 3, 2018",56.1,Low,EUR Markit/BME Germany Manufacturing PMI (AUG F),56.9,07:55
677,54.6,EUR,"Monday, September 3, 2018",54.6,Low,EUR Markit Eurozone Manufacturing PMI (AUG F),54.6,08:00
678,576.2,CHF,"Monday, September 3, 2018",,Low,CHF Total Sight Deposits CHF (AUG 31),576.8,08:00
679,477.838b,CHF,"Monday, September 3, 2018",,Low,CHF Domestic Sight Deposits CHF (AUG 31),477.033b,08:00
680,52.8,GBP,"Monday, September 3, 2018",53.9,Medium,GBP Markit UK PMI Manufacturing s.a. (AUG),53.8,08:30
681,,EUR,"Monday, September 3, 2018",,Low,EUR ECB's Mersch Speaks in Paris,,09:20
682,50.7,MXN,"Monday, September 3, 2018",,Medium,MXN Markit Mexico PMI Manufacturing (AUG),52.1,14:30
683,0.2%,GBP,"Monday, September 3, 2018",,Low,GBP BRC Sales Like-For-Like (YoY) (AUG),0.5%,23:01
684,117.7,AUD,"Monday, September 3, 2018",,Low,AUD ANZ Roy Morgan Weekly Consumer Confidence Index (SEP 2),116.5,23:30
685,¥502.0t,JPY,"Monday, September 3, 2018",¥501.7t,Medium,JPY Monetary Base End of period (AUG),¥503.0t,23:50
686,6.9%,JPY,"Monday, September 3, 2018",,Medium,JPY Monetary Base (YoY) (AUG),7.0%,23:50
687,,JPY,"Tuesday, September 4, 2018",,Low,JPY BOJ Outright Bond Purchase 10~25 Years,,01:10
688,,JPY,"Tuesday, September 4, 2018",,Low,JPY BOJ Outright Bond Purchase 25 Years~,,01:10
689,,JPY,"Tuesday, September 4, 2018",,Low,JPY BOJ Outright Bond Purchase 3~5 Years,,01:10
690,,JPY,"Tuesday, September 4, 2018",,Low,JPY BOJ Outright Bond Purchase 1~3 Years,,01:10
691,-A$13.5b,AUD,"Tuesday, September 4, 2018",-A$11.0b,Medium,AUD Current Account Balance (Australian Dollar) (2Q),-A$10.5b,01:30
692,0.1,AUD,"Tuesday, September 4, 2018",0.1,Low,AUD Net Exports of Gross Domestic Product (2Q),0.3,01:30
693,1.50%,AUD,"Tuesday, September 4, 2018",1.50%,High,AUD RBA Cash Rate Target (SEP 4),1.50%,04:30
694,0.0%,CHF,"Tuesday, September 4, 2018",0.0%,Low,CHF Consumer Price Index (MoM) (AUG),-0.2%,07:15
695,1.2%,CHF,"Tuesday, September 4, 2018",1.2%,Medium,CHF Consumer Price Index (YoY) (AUG),1.2%,07:15
696,0.0%,CHF,"Tuesday, September 4, 2018",,Low,CHF Consumer Price Index EU Harmonized (MoM) (AUG),0.4%,07:15
697,1.3%,CHF,"Tuesday, September 4, 2018",,Medium,CHF Consumer Price Index EU Harmonized (YoY) (AUG),1.2%,07:15
698,0.5%,CHF,"Tuesday, September 4, 2018",,Medium,CHF Consumer Price Index Core (YoY) (AUG),0.5%,07:15
699,52.9,GBP,"Tuesday, September 4, 2018",54.9,Medium,GBP Markit/CIPS UK Construction PMI (AUG),55.8,08:30
700,0.4%,EUR,"Tuesday, September 4, 2018",0.3%,Low,EUR Euro-Zone Producer Price Index (MoM) (JUL),0.4%,09:00
701,4%,EUR,"Tuesday, September 4, 2018",3.9%,Low,EUR Euro-Zone Producer Price Index (YoY) (JUL),3.6%,09:00
702,,AUD,"Tuesday, September 4, 2018",,High,AUD RBA Governor Lowe speaks in Perth,,09:30
703,,GBP,"Tuesday, September 4, 2018",,High,"GBP BOE's Carney, Haldane, Tenreyro, and Saunders Speak in London",,12:15
704,0.1%,CAD,"Tuesday, September 4, 2018",,Low,CAD MLI Leading Indicator (MoM) (JUL),0.2%,12:30
705,56.8,CAD,"Tuesday, September 4, 2018",,High,CAD RBC Canadian Manufacturing PMI (AUG),56.9,13:30
706,54.7,USD,"Tuesday, September 4, 2018",,Low,USD Markit US Manufacturing PMI (AUG F),54.5,13:45
707,0.1%,USD,"Tuesday, September 4, 2018",0.5%,Medium,USD Construction Spending (MoM) (JUL),-0.8%,14:00
708,61.3,USD,"Tuesday, September 4, 2018",57.6,High,USD ISM Manufacturing (AUG),58.1,14:00
709,58.5,USD,"Tuesday, September 4, 2018",56.0,High,USD ISM Employment (AUG),56.5,14:00
710,72.1,USD,"Tuesday, September 4, 2018",71.1,Medium,USD ISM Prices Paid (AUG),73.2,14:00
711,65.1,USD,"Tuesday, September 4, 2018",,Low,USD ISM New Orders (AUG),60.2,14:00
712,"$2,980",NZD,"Tuesday, September 4, 2018",,Medium,NZD Dairy Auction Avg. Winning Price MT (SEP 4),"$3,044",15:01
713,"$2,821",NZD,"Tuesday, September 4, 2018",,Medium,NZD Dairy Auction Whole Milk Powder MT (SEP 4),"$2,883",15:01
714,,USD,"Tuesday, September 4, 2018",,Low,USD U.S. to Sell 4-Week Bills,,15:30
715,,USD,"Tuesday, September 4, 2018",,Low,USD U.S. to Sell 3-Month Bills,,15:30
716,,USD,"Tuesday, September 4, 2018",,Low,USD U.S. to Sell 6-Month Bills,,15:30
717,16.60m,USD,"Tuesday, September 4, 2018",16.80m,Low,USD Wards Total Vehicle Sales (AUG),16.68m,20:38
718,0.6%,NZD,"Tuesday, September 4, 2018",,Low,NZD ANZ Job Advertisements (MoM) (AUG),3.2%,22:00
719,52.2,AUD,"Tuesday, September 4, 2018",,Medium,AUD AiG Performance of Service Index (AUG),53.6,22:30
720,0.8%,NZD,"Tuesday, September 4, 2018",2.9%,Low,NZD Volume of All Buildings SA (QoQ) (2Q),-0.9%,22:45
721,51.8,AUD,"Tuesday, September 4, 2018",,Low,AUD CBA Australia PMI Services (AUG),52.3,23:00
722,52.0,AUD,"Tuesday, September 4, 2018",,Low,AUD CBA Australia PMI Composite (AUG),52.3,23:00
723,51.5,JPY,"Wednesday, September 5, 2018",,Medium,JPY Nikkei Japan PMI Services (AUG),51.3,00:30
724,52.0,JPY,"Wednesday, September 5, 2018",,Medium,JPY Nikkei Japan PMI Composite (AUG),51.8,00:30
725,-1.1%,NZD,"Wednesday, September 5, 2018",,Low,NZD ANZ Commodity Price (AUG),-3.3%,01:00
726,0.9%,AUD,"Wednesday, September 5, 2018",0.7%,Medium,AUD Gross Domestic Product (QoQ) (2Q),1.1%,01:30
727,3.4%,AUD,"Wednesday, September 5, 2018",2.8%,High,AUD Gross Domestic Product (YoY) (2Q),3.2%,01:30
728,52.0,CNY,"Wednesday, September 5, 2018",,Medium,CNY Caixin China PMI Composite (AUG),52.3,01:45
729,51.5,CNY,"Wednesday, September 5, 2018",52.6,Medium,CNY Caixin China PMI Services (AUG),52.8,01:45
730,52.6,EUR,"Wednesday, September 5, 2018",53.1,Low,EUR Markit/ADACI Italy Services PMI (AUG),54,07:45
731,51.7,EUR,"Wednesday, September 5, 2018",52.2,Low,EUR Markit/ADACI Italy Composite PMI (AUG),53,07:45
732,55.4,EUR,"Wednesday, September 5, 2018",55.7,Low,EUR Markit France Services PMI (AUG F),54.9,07:50
733,54.9,EUR,"Wednesday, September 5, 2018",55.1,Low,EUR Markit France Composite PMI (AUG F),54.4,07:50
734,55.0,EUR,"Wednesday, September 5, 2018",55.2,Low,EUR Markit Germany Services PMI (AUG F),54.1,07:55
735,55.6,EUR,"Wednesday, September 5, 2018",55.7,Low,EUR Markit/BME Germany Composite PMI (AUG F),55.0,07:55
736,23.1%,GBP,"Wednesday, September 5, 2018",,Low,GBP New Car Registrations (YoY) (AUG),,08:00
737,54.4,EUR,"Wednesday, September 5, 2018",54.4,Low,EUR Markit Eurozone Services PMI (AUG F),54.4,08:00
738,54.5,EUR,"Wednesday, September 5, 2018",54.4,Low,EUR Markit Eurozone Composite PMI (AUG F),54.4,08:00
739,,EUR,"Wednesday, September 5, 2018",,Low,EUR ECB's Praet Speaks in Vienna,,08:30
740,54.3,GBP,"Wednesday, September 5, 2018",53.9,Medium,GBP Markit/CIPS UK Services PMI (AUG),53.5,08:30
741,54.1,GBP,"Wednesday, September 5, 2018",54.1,Medium,GBP Markit/CIPS UK Composite PMI (AUG),53.6,08:30
742,-0.2%,EUR,"Wednesday, September 5, 2018",-0.2%,Low,EUR Euro-Zone Retail Sales (MoM) (JUL),0.3%,09:00
743,1.1%,EUR,"Wednesday, September 5, 2018",1.3%,Medium,EUR Euro-Zone Retail Sales (YoY) (JUL),1.5%,09:00
744,-0.1%,USD,"Wednesday, September 5, 2018",,Medium,USD MBA Mortgage Applications (AUG 31),-1.7%,11:00
745,-0.11b,CAD,"Wednesday, September 5, 2018",-0.80b,Low,CAD International Merchandise Trade (Canadian dollar) (JUL),-0.74b,12:30
746,0.7%,CAD,"Wednesday, September 5, 2018",0.2%,Low,CAD Labor Productivity (QoQ) (2Q),-0.3%,12:30
747,-$50.1b,USD,"Wednesday, September 5, 2018",-$50.3b,Medium,USD Trade Balance (JUL),-$45.7b,12:30
748,101.8,MXN,"Wednesday, September 5, 2018",100,Medium,MXN Consumer Confidence Index (AUG),102,13:00
749,,USD,"Wednesday, September 5, 2018",,Low,USD Fed's Bullard Speaks in New York,,13:20
750,1.50%,CAD,"Wednesday, September 5, 2018",1.50%,High,CAD Bank of Canada Rate Decision (SEP 5),1.50%,14:00
751,4.8%,NZD,"Wednesday, September 5, 2018",,Low,NZD QV House Prices (YoY) (AUG),5.1%,17:00
752,,USD,"Wednesday, September 5, 2018",,Low,"USD Fed's Kashkari Speaks at Townhall in Bozeman, Montana",,20:00
753,¥543.4b,JPY,"Wednesday, September 5, 2018",,Low,JPY Japan Buying Foreign Bonds (Yen) (AUG 31),¥235.5b,23:50
754,¥186.1b,JPY,"Wednesday, September 5, 2018",,Low,JPY Japan Buying Foreign Stocks (Yen) (AUG 31),-¥60.9b,23:50
755,¥-9.2b,JPY,"Wednesday, September 5, 2018",,Low,JPY Foreign Buying Japan Bonds (AUG 31),-¥14.5b,23:50
756,¥-4.6b,JPY,"Wednesday, September 5, 2018",,Low,JPY Foreign Buying Japan Stocks (AUG 31),-¥334.9b,23:50
757,A$1551m,AUD,"Thursday, September 6, 2018",A$1450m,Medium,AUD Trade Balance (JUL),A$1873m,01:30
758,,JPY,"Thursday, September 6, 2018",,Low,JPY BOJ Kataoka speaks in Yokohama,,01:30
759,0.7%,CHF,"Thursday, September 6, 2018",0.5%,Medium,CHF Gross Domestic Product (QoQ) (2Q),1.0%,05:45
760,3.4%,CHF,"Thursday, September 6, 2018",2.4%,High,CHF Gross Domestic Product (YoY) (2Q),2.9%,05:45
761,-0.9%,EUR,"Thursday, September 6, 2018",1.8%,Low,EUR German Factory Orders (MoM) (JUL),-3.9%,06:00
762,-0.9%,EUR,"Thursday, September 6, 2018",1.9%,Medium,EUR German Factory Orders n.s.a. (YoY) (JUL),-0.8%,06:00
763,51.5,EUR,"Thursday, September 6, 2018",,Medium,EUR Markit Germany Construction PMI (AUG),50,07:30
764,13.7%,USD,"Thursday, September 6, 2018",,Low,USD Challenger Job Cuts (YoY) (AUG),-4.2%,11:30
765,,EUR,"Thursday, September 6, 2018",,Low,EUR ECB's Lautenschlaegger Speaks in Vienna,,11:45
766,163k,USD,"Thursday, September 6, 2018",200k,Medium,USD ADP Employment Change (AUG),217k,12:15
767,-0.1%,CAD,"Thursday, September 6, 2018",1.0%,Medium,CAD Building Permits (MoM) (JUL),-1.3%,12:30
768,203k,USD,"Thursday, September 6, 2018",213k,Medium,USD Initial Jobless Claims (SEP 1),213k,12:30
769,1707k,USD,"Thursday, September 6, 2018",1720k,Medium,USD Continuing Claims (AUG 25),1710k,12:30
770,2.9%,USD,"Thursday, September 6, 2018",3.0%,Low,USD Nonfarm Productivity (2Q F),2.9%,12:30
771,-1.0%,USD,"Thursday, September 6, 2018",-0.9%,Low,USD Unit Labor Costs (2Q F),-0.9%,12:30
772,54.8,USD,"Thursday, September 6, 2018",55.2,Low,USD Markit US Services PMI (AUG F),55.2,13:45
773,54.7,USD,"Thursday, September 6, 2018",,Low,USD Markit US Composite PMI (AUG F),55,13:45
774,,USD,"Thursday, September 6, 2018",,Low,USD Fed's Williams Speaks at University of Buffalo,,14:00
775,58.5,USD,"Thursday, September 6, 2018",56.8,High,USD ISM Non-Manufacturing/Services Composite (AUG),55.7,14:00
776,-0.8%,USD,"Thursday, September 6, 2018",-0.6%,Medium,USD Factory Orders (JUL),0.6%,14:00
777,0.2%,USD,"Thursday, September 6, 2018",,Low,USD Factory Orders Ex Trans (JUL),0.4%,14:00
778,-1.7%,USD,"Thursday, September 6, 2018",-1.7%,Medium,USD Durable Goods Orders (JUL F),-1.7%,14:00
779,0.1%,USD,"Thursday, September 6, 2018",,Low,USD Durables Ex Transportation (JUL F),0.2%,14:00
780,1.6%,USD,"Thursday, September 6, 2018",,Low,USD Cap Goods Orders Nondef Ex Air (JUL F),1.4%,14:00
781,1.0%,USD,"Thursday, September 6, 2018",,Low,USD Cap Goods Ship Nondef Ex Air (JUL F),0.9%,14:00
782,63,USD,"Thursday, September 6, 2018",61,Low,USD EIA Working Natural Gas Implied Flow (AUG 31),70,14:30
783,63,USD,"Thursday, September 6, 2018",61,Low,USD EIA Natural Gas Storage Change (AUG 31),70,14:30
