actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name
1.1%,USD,2012-10-15 08:30:00,0.6%,better,High,Core Retail Sales m/m,1.0%,better,42,2012-10-15 12:30:00+00:00,83.33,2012,4,10,Monday
1.1%,USD,2012-10-15 08:30:00,0.7%,better,High,Retail Sales m/m,1.2%,better,42,2012-10-15 12:30:00+00:00,57.14,2012,4,10,Monday
-6.2,USD,2012-10-15 08:30:00,-4.5,worse,Medium,Empire State Manufacturing Index,-10.4,accurate,42,2012-10-15 12:30:00+00:00,-37.78,2012,4,10,Monday
0.6%,USD,2012-10-15 10:00:00,0.5%,worse,Medium,Business Inventories m/m,0.8%,accurate,42,2012-10-15 14:00:00+00:00,20.0,2012,4,10,Monday
0.1%,USD,2012-10-16 08:30:00,0.2%,worse,High,Core CPI m/m,0.1%,accurate,42,2012-10-16 12:30:00+00:00,-50.0,2012,4,10,Tuesday
0.6%,USD,2012-10-16 08:30:00,0.4%,better,Medium,CPI m/m,0.6%,accurate,42,2012-10-16 12:30:00+00:00,50.0,2012,4,10,Tuesday
90.0B,USD,2012-10-16 09:00:00,45.3B,better,Medium,TIC Long-Term Purchases,67.2B,accurate,42,2012-10-16 13:00:00+00:00,98.68,2012,4,10,Tuesday
78.3%,USD,2012-10-16 09:15:00,78.4%,accurate,Medium,Capacity Utilization Rate,78.0%,worse,42,2012-10-16 13:15:00+00:00,-0.13,2012,4,10,Tuesday
0.4%,USD,2012-10-16 09:15:00,0.2%,better,Medium,Industrial Production m/m,-1.4%,worse,42,2012-10-16 13:15:00+00:00,100.0,2012,4,10,Tuesday
41,USD,2012-10-16 10:00:00,41,accurate,Low,NAHB Housing Market Index,40,accurate,42,2012-10-16 14:00:00+00:00,0.0,2012,4,10,Tuesday
0.89M,USD,2012-10-17 08:30:00,0.81M,better,High,Building Permits,0.80M,accurate,42,2012-10-17 12:30:00+00:00,9.88,2012,4,10,Wednesday
0.87M,USD,2012-10-17 08:30:00,0.77M,better,Medium,Housing Starts,0.76M,accurate,42,2012-10-17 12:30:00+00:00,12.99,2012,4,10,Wednesday
2.9M,USD,2012-10-17 10:30:00,1.4M,accurate,Medium,Crude Oil Inventories,1.7M,accurate,42,2012-10-17 14:30:00+00:00,107.14,2012,4,10,Wednesday
388K,USD,2012-10-18 08:30:00,367K,worse,High,Unemployment Claims,342K,accurate,42,2012-10-18 12:30:00+00:00,5.72,2012,4,10,Thursday
5.7,USD,2012-10-18 10:00:00,1.3,better,High,Philly Fed Manufacturing Index,-1.9,accurate,42,2012-10-18 14:00:00+00:00,338.46,2012,4,10,Thursday
0.6%,USD,2012-10-18 10:00:00,0.1%,better,Low,CB Leading Index m/m,-0.4%,worse,42,2012-10-18 14:00:00+00:00,500.0,2012,4,10,Thursday
51B,USD,2012-10-18 10:30:00,46B,accurate,Low,Natural Gas Storage,72B,accurate,42,2012-10-18 14:30:00+00:00,10.87,2012,4,10,Thursday
4.75M,USD,2012-10-19 10:00:00,4.73M,accurate,High,Existing Home Sales,4.83M,accurate,42,2012-10-19 14:00:00+00:00,0.42,2012,4,10,Friday
92.8,USD,2012-10-09 07:30:00,93.6,accurate,Low,NFIB Small Business Index,92.9,accurate,41,2012-10-09 11:30:00+00:00,-0.85,2012,4,10,Tuesday
54.0,USD,2012-10-09 10:00:00,52.3,better,Low,IBD/TIPP Economic Optimism,51.8,accurate,41,2012-10-09 14:00:00+00:00,3.25,2012,4,10,Tuesday
3.56M,USD,2012-10-10 10:00:00,3.73M,worse,Medium,JOLTS Job Openings,3.59M,worse,41,2012-10-10 14:00:00+00:00,-4.56,2012,4,10,Wednesday
0.5%,USD,2012-10-10 10:00:00,0.5%,accurate,Low,Final Wholesale Inventories m/m,0.6%,better,41,2012-10-10 14:00:00+00:00,0.0,2012,4,10,Wednesday
-44.2B,USD,2012-10-11 08:30:00,-44.1B,accurate,High,Trade Balance,-42.5B,accurate,41,2012-10-11 12:30:00+00:00,-0.23,2012,4,10,Thursday
339K,USD,2012-10-11 08:30:00,368K,better,High,Unemployment Claims,369K,accurate,41,2012-10-11 12:30:00+00:00,-7.88,2012,4,10,Thursday
1.1%,USD,2012-10-11 08:30:00,0.7%,better,Medium,Import Prices m/m,1.1%,better,41,2012-10-11 12:30:00+00:00,57.14,2012,4,10,Thursday
72B,USD,2012-10-11 10:30:00,79B,accurate,Low,Natural Gas Storage,77B,accurate,41,2012-10-11 14:30:00+00:00,-8.86,2012,4,10,Thursday
1.7M,USD,2012-10-11 11:00:00,1.3M,accurate,Medium,Crude Oil Inventories,-0.5M,accurate,41,2012-10-11 15:00:00+00:00,30.77,2012,4,10,Thursday
1.1%,USD,2012-10-12 08:30:00,0.8%,better,High,PPI m/m,1.7%,accurate,41,2012-10-12 12:30:00+00:00,37.5,2012,4,10,Friday
0.0%,USD,2012-10-12 08:30:00,0.2%,worse,Medium,Core PPI m/m,0.2%,accurate,41,2012-10-12 12:30:00+00:00,-100.0,2012,4,10,Friday
83.1,USD,2012-10-12 09:55:00,78.1,better,High,Prelim UoM Consumer Sentiment,78.3,worse,41,2012-10-12 13:55:00+00:00,6.4,2012,4,10,Friday
75.0B,USD,2012-10-12 14:54:00,59.0B,better,Medium,Federal Budget Balance,-190.5B,accurate,41,2012-10-12 18:54:00+00:00,27.12,2012,4,10,Friday
51.1,USD,2012-10-01 09:00:00,51.5,worse,Low,Final Manufacturing PMI,51.5,accurate,40,2012-10-01 13:00:00+00:00,-0.78,2012,4,10,Monday
51.5,USD,2012-10-01 10:00:00,49.8,better,High,ISM Manufacturing PMI,49.6,accurate,40,2012-10-01 14:00:00+00:00,3.41,2012,4,10,Monday
-0.6%,USD,2012-10-01 10:00:00,0.6%,worse,Low,Construction Spending m/m,-0.4%,better,40,2012-10-01 14:00:00+00:00,-200.0,2012,4,10,Monday
58.0,USD,2012-10-01 10:00:00,55.6,better,Low,ISM Manufacturing Prices,54.0,accurate,40,2012-10-01 14:00:00+00:00,4.32,2012,4,10,Monday
15.0M,USD,2012-10-02 01:00:00,14.4M,better,Low,Total Vehicle Sales,14.5M,accurate,40,2012-10-02 05:00:00+00:00,4.17,2012,4,10,Tuesday
162K,USD,2012-10-03 08:15:00,145K,better,High,ADP Non-Farm Employment Change,189K,worse,40,2012-10-03 12:15:00+00:00,11.72,2012,4,10,Wednesday
55.1,USD,2012-10-03 10:00:00,53.2,better,High,ISM Non-Manufacturing PMI,53.7,accurate,40,2012-10-03 14:00:00+00:00,3.57,2012,4,10,Wednesday
-0.5M,USD,2012-10-03 10:30:00,1.6M,accurate,Medium,Crude Oil Inventories,-2.4M,accurate,40,2012-10-03 14:30:00+00:00,-131.25,2012,4,10,Wednesday
367K,USD,2012-10-04 08:30:00,371K,accurate,High,Unemployment Claims,363K,accurate,40,2012-10-04 12:30:00+00:00,-1.08,2012,4,10,Thursday
-5.2%,USD,2012-10-04 10:00:00,-6.0%,better,Medium,Factory Orders m/m,2.8%,accurate,40,2012-10-04 14:00:00+00:00,13.33,2012,4,10,Thursday
77B,USD,2012-10-04 10:30:00,72B,accurate,Low,Natural Gas Storage,80B,accurate,40,2012-10-04 14:30:00+00:00,6.94,2012,4,10,Thursday
114K,USD,2012-10-05 08:30:00,114K,accurate,High,Non-Farm Employment Change,142K,better,40,2012-10-05 12:30:00+00:00,0.0,2012,4,10,Friday
7.8%,USD,2012-10-05 08:30:00,8.2%,better,High,Unemployment Rate,8.1%,accurate,40,2012-10-05 12:30:00+00:00,-4.88,2012,4,10,Friday
0.3%,USD,2012-10-05 08:30:00,0.2%,better,Medium,Average Hourly Earnings m/m,0.0%,accurate,40,2012-10-05 12:30:00+00:00,50.0,2012,4,10,Friday
18.1B,USD,2012-10-05 15:00:00,6.8B,better,Low,Consumer Credit m/m,-2.5B,better,40,2012-10-05 19:00:00+00:00,166.18,2012,4,10,Friday
1.2%,USD,2012-09-25 09:00:00,1.3%,accurate,Medium,S&P/CS Composite-20 HPI y/y,0.6%,accurate,39,2012-09-25 13:00:00+00:00,-7.69,2012,3,9,Tuesday
4,USD,2012-09-25 09:59:00,-6,better,Low,Richmond Manufacturing Index,-9,accurate,39,2012-09-25 13:59:00+00:00,166.67,2012,3,9,Tuesday
70.3,USD,2012-09-25 10:00:00,63.1,better,High,CB Consumer Confidence,61.3,better,39,2012-09-25 14:00:00+00:00,11.41,2012,3,9,Tuesday
0.2%,USD,2012-09-25 10:00:00,0.4%,worse,Low,HPI m/m,0.7%,accurate,39,2012-09-25 14:00:00+00:00,-50.0,2012,3,9,Tuesday
373K,USD,2012-09-26 10:00:00,381K,worse,High,New Home Sales,374K,accurate,39,2012-09-26 14:00:00+00:00,-2.1,2012,3,9,Wednesday
-2.4M,USD,2012-09-26 10:30:00,1.7M,accurate,Medium,Crude Oil Inventories,8.5M,accurate,39,2012-09-26 14:30:00+00:00,-241.18,2012,3,9,Wednesday
-1.6%,USD,2012-09-27 08:30:00,0.2%,worse,High,Core Durable Goods Orders m/m,-1.3%,worse,39,2012-09-27 12:30:00+00:00,-900.0,2012,3,9,Thursday
359K,USD,2012-09-27 08:30:00,378K,better,High,Unemployment Claims,385K,accurate,39,2012-09-27 12:30:00+00:00,-5.03,2012,3,9,Thursday
-13.2%,USD,2012-09-27 08:30:00,-4.7%,worse,Medium,Durable Goods Orders m/m,3.3%,worse,39,2012-09-27 12:30:00+00:00,-180.85,2012,3,9,Thursday
1.3%,USD,2012-09-27 08:30:00,1.7%,worse,Medium,Final GDP q/q,1.7%,accurate,39,2012-09-27 12:30:00+00:00,-23.53,2012,3,9,Thursday
1.6%,USD,2012-09-27 08:30:00,1.6%,accurate,Low,Final GDP Price Index q/q,1.6%,accurate,39,2012-09-27 12:30:00+00:00,0.0,2012,3,9,Thursday
-2.6%,USD,2012-09-27 10:00:00,-0.4%,worse,High,Pending Home Sales m/m,2.6%,better,39,2012-09-27 14:00:00+00:00,-550.0,2012,3,9,Thursday
80B,USD,2012-09-27 10:30:00,75B,accurate,Low,Natural Gas Storage,67B,accurate,39,2012-09-27 14:30:00+00:00,6.67,2012,3,9,Thursday
0.1%,USD,2012-09-28 08:30:00,0.1%,accurate,Medium,Core PCE Price Index m/m,0.1%,better,39,2012-09-28 12:30:00+00:00,0.0,2012,3,9,Friday
0.5%,USD,2012-09-28 08:30:00,0.5%,accurate,Medium,Personal Spending m/m,0.4%,accurate,39,2012-09-28 12:30:00+00:00,0.0,2012,3,9,Friday
0.1%,USD,2012-09-28 08:30:00,0.2%,worse,Low,Personal Income m/m,0.1%,worse,39,2012-09-28 12:30:00+00:00,-50.0,2012,3,9,Friday
49.7,USD,2012-09-28 09:45:00,52.9,worse,Medium,Chicago PMI,53.0,accurate,39,2012-09-28 13:45:00+00:00,-6.05,2012,3,9,Friday
78.3,USD,2012-09-28 09:55:00,79.0,worse,Medium,Revised UoM Consumer Sentiment,79.2,accurate,39,2012-09-28 13:55:00+00:00,-0.89,2012,3,9,Friday
-10.4,USD,2012-09-17 08:30:00,-1.9,worse,Medium,Empire State Manufacturing Index,-5.9,accurate,38,2012-09-17 12:30:00+00:00,-447.37,2012,3,9,Monday
-117B,USD,2012-09-18 08:30:00,-126B,better,Medium,Current Account,-134B,better,38,2012-09-18 12:30:00+00:00,7.14,2012,3,9,Tuesday
67.0B,USD,2012-09-18 08:38:00,37.3B,better,Medium,TIC Long-Term Purchases,9.3B,accurate,38,2012-09-18 12:38:00+00:00,79.62,2012,3,9,Tuesday
40,USD,2012-09-18 10:00:00,38,better,Low,NAHB Housing Market Index,37,accurate,38,2012-09-18 14:00:00+00:00,5.26,2012,3,9,Tuesday
0.80M,USD,2012-09-19 08:30:00,0.79M,accurate,High,Building Permits,0.81M,accurate,38,2012-09-19 12:30:00+00:00,1.27,2012,3,9,Wednesday
0.75M,USD,2012-09-19 08:30:00,0.77M,accurate,Medium,Housing Starts,0.73M,accurate,38,2012-09-19 12:30:00+00:00,-2.6,2012,3,9,Wednesday
4.82M,USD,2012-09-19 10:00:00,4.57M,better,High,Existing Home Sales,4.47M,accurate,38,2012-09-19 14:00:00+00:00,5.47,2012,3,9,Wednesday
8.5M,USD,2012-09-19 10:30:00,-0.2M,accurate,Medium,Crude Oil Inventories,2.0M,accurate,38,2012-09-19 14:30:00+00:00,4350.0,2012,3,9,Wednesday
382K,USD,2012-09-20 08:30:00,374K,worse,High,Unemployment Claims,385K,accurate,38,2012-09-20 12:30:00+00:00,2.14,2012,3,9,Thursday
51.5,USD,2012-09-20 09:00:00,51.6,accurate,Medium,Flash Manufacturing PMI,51.5,worse,38,2012-09-20 13:00:00+00:00,-0.19,2012,3,9,Thursday
-1.9,USD,2012-09-20 10:00:00,-4.1,better,High,Philly Fed Manufacturing Index,-7.1,accurate,38,2012-09-20 14:00:00+00:00,53.66,2012,3,9,Thursday
-0.1%,USD,2012-09-20 10:00:00,-0.1%,accurate,Low,CB Leading Index m/m,0.5%,better,38,2012-09-20 14:00:00+00:00,0.0,2012,3,9,Thursday
67B,USD,2012-09-20 10:30:00,66B,accurate,Low,Natural Gas Storage,27B,accurate,38,2012-09-20 14:30:00+00:00,1.52,2012,3,9,Thursday
-3.3B,USD,2012-09-10 15:00:00,9.1B,worse,Low,Consumer Credit m/m,9.8B,better,37,2012-09-10 19:00:00+00:00,-136.26,2012,3,9,Monday
92.9,USD,2012-09-11 07:30:00,91.5,better,Low,NFIB Small Business Index,91.2,accurate,37,2012-09-11 11:30:00+00:00,1.53,2012,3,9,Tuesday
-42.0B,USD,2012-09-11 08:30:00,-44.2B,better,High,Trade Balance,-41.9B,better,37,2012-09-11 12:30:00+00:00,4.98,2012,3,9,Tuesday
51.8,USD,2012-09-11 10:00:00,47.3,better,Low,IBD/TIPP Economic Optimism,45.6,accurate,37,2012-09-11 14:00:00+00:00,9.51,2012,3,9,Tuesday
3.66M,USD,2012-09-11 10:00:00,3.74M,worse,Low,JOLTS Job Openings,3.72M,accurate,37,2012-09-11 14:00:00+00:00,-2.14,2012,3,9,Tuesday
0.7%,USD,2012-09-12 08:30:00,1.4%,worse,Medium,Import Prices m/m,-0.7%,accurate,37,2012-09-12 12:30:00+00:00,-50.0,2012,3,9,Wednesday
0.7%,USD,2012-09-12 10:00:00,0.3%,worse,Low,Final Wholesale Inventories m/m,-0.2%,accurate,37,2012-09-12 14:00:00+00:00,133.33,2012,3,9,Wednesday
2.0M,USD,2012-09-12 10:30:00,-1.8M,accurate,Medium,Crude Oil Inventories,-7.4M,accurate,37,2012-09-12 14:30:00+00:00,211.11,2012,3,9,Wednesday
1.7%,USD,2012-09-13 08:30:00,1.1%,better,High,PPI m/m,0.3%,accurate,37,2012-09-13 12:30:00+00:00,54.55,2012,3,9,Thursday
382K,USD,2012-09-13 08:30:00,370K,worse,High,Unemployment Claims,367K,accurate,37,2012-09-13 12:30:00+00:00,3.24,2012,3,9,Thursday
0.2%,USD,2012-09-13 08:30:00,0.2%,accurate,Medium,Core PPI m/m,0.4%,accurate,37,2012-09-13 12:30:00+00:00,0.0,2012,3,9,Thursday
27B,USD,2012-09-13 10:30:00,26B,accurate,Low,Natural Gas Storage,28B,accurate,37,2012-09-13 14:30:00+00:00,3.85,2012,3,9,Thursday
<0.25%,USD,2012-09-13 12:30:00,<0.25%,accurate,Medium,Federal Funds Rate,<0.25%,accurate,37,2012-09-13 16:30:00+00:00,0.0,2012,3,9,Thursday
-190.5B,USD,2012-09-13 13:54:00,-156.1B,worse,Medium,Federal Budget Balance,-69.6B,accurate,37,2012-09-13 17:54:00+00:00,-22.04,2012,3,9,Thursday
0.1%,USD,2012-09-14 08:30:00,0.2%,worse,High,Core CPI m/m,0.1%,accurate,37,2012-09-14 12:30:00+00:00,-50.0,2012,3,9,Friday
0.8%,USD,2012-09-14 08:30:00,0.7%,better,High,Core Retail Sales m/m,0.8%,accurate,37,2012-09-14 12:30:00+00:00,14.29,2012,3,9,Friday
0.9%,USD,2012-09-14 08:30:00,0.7%,better,High,Retail Sales m/m,0.6%,worse,37,2012-09-14 12:30:00+00:00,28.57,2012,3,9,Friday
0.6%,USD,2012-09-14 08:30:00,0.5%,better,Medium,CPI m/m,0.0%,accurate,37,2012-09-14 12:30:00+00:00,20.0,2012,3,9,Friday
78.2%,USD,2012-09-14 09:15:00,79.3%,worse,Medium,Capacity Utilization Rate,79.2%,accurate,37,2012-09-14 13:15:00+00:00,-1.39,2012,3,9,Friday
-1.2%,USD,2012-09-14 09:15:00,0.1%,worse,Medium,Industrial Production m/m,0.5%,worse,37,2012-09-14 13:15:00+00:00,-1300.0,2012,3,9,Friday
79.2,USD,2012-09-14 09:55:00,74.1,better,High,Prelim UoM Consumer Sentiment,74.3,better,37,2012-09-14 13:55:00+00:00,6.88,2012,3,9,Friday
0.8%,USD,2012-09-14 10:00:00,0.3%,worse,Medium,Business Inventories m/m,0.1%,accurate,37,2012-09-14 14:00:00+00:00,166.67,2012,3,9,Friday
51.5,USD,2012-09-04 09:00:00,51.9,worse,Low,Final Manufacturing PMI,51.9,accurate,36,2012-09-04 13:00:00+00:00,-0.77,2012,3,9,Tuesday
49.6,USD,2012-09-04 10:00:00,50.0,worse,High,ISM Manufacturing PMI,49.8,accurate,36,2012-09-04 14:00:00+00:00,-0.8,2012,3,9,Tuesday
-0.9%,USD,2012-09-04 10:00:00,0.4%,worse,Low,Construction Spending m/m,0.4%,accurate,36,2012-09-04 14:00:00+00:00,-325.0,2012,3,9,Tuesday
54.0,USD,2012-09-04 10:00:00,46.4,better,Low,ISM Manufacturing Prices,39.5,accurate,36,2012-09-04 14:00:00+00:00,16.38,2012,3,9,Tuesday
14.5M,USD,2012-09-04 01:00:00,14.1M,better,Low,Total Vehicle Sales,14.1M,accurate,36,2012-09-04 05:00:00+00:00,2.84,2012,3,9,Tuesday
2.2%,USD,2012-09-05 08:30:00,1.8%,worse,Medium,Revised Nonfarm Productivity q/q,1.6%,accurate,36,2012-09-05 12:30:00+00:00,22.22,2012,3,9,Wednesday
1.5%,USD,2012-09-05 08:30:00,1.5%,accurate,Low,Revised Unit Labor Costs q/q,1.7%,accurate,36,2012-09-05 12:30:00+00:00,0.0,2012,3,9,Wednesday
201K,USD,2012-09-06 08:15:00,142K,better,High,ADP Non-Farm Employment Change,173K,better,36,2012-09-06 12:15:00+00:00,41.55,2012,3,9,Thursday
365K,USD,2012-09-06 08:30:00,369K,accurate,High,Unemployment Claims,377K,accurate,36,2012-09-06 12:30:00+00:00,-1.08,2012,3,9,Thursday
53.7,USD,2012-09-06 10:00:00,52.5,better,High,ISM Non-Manufacturing PMI,52.6,accurate,36,2012-09-06 14:00:00+00:00,2.29,2012,3,9,Thursday
28B,USD,2012-09-06 10:30:00,40B,accurate,Low,Natural Gas Storage,66B,accurate,36,2012-09-06 14:30:00+00:00,-30.0,2012,3,9,Thursday
-7.4M,USD,2012-09-06 11:00:00,-4.9M,accurate,Medium,Crude Oil Inventories,3.8M,accurate,36,2012-09-06 15:00:00+00:00,-51.02,2012,3,9,Thursday
96K,USD,2012-09-07 08:30:00,123K,worse,High,Non-Farm Employment Change,141K,worse,36,2012-09-07 12:30:00+00:00,-21.95,2012,3,9,Friday
8.1%,USD,2012-09-07 08:30:00,8.3%,better,High,Unemployment Rate,8.3%,accurate,36,2012-09-07 12:30:00+00:00,-2.41,2012,3,9,Friday
0.0%,USD,2012-09-07 08:30:00,0.2%,worse,Medium,Average Hourly Earnings m/m,0.1%,accurate,36,2012-09-07 12:30:00+00:00,-100.0,2012,3,9,Friday
0.5%,USD,2012-08-28 09:00:00,-0.3%,better,Medium,S&P/CS Composite-20 HPI y/y,-0.7%,accurate,35,2012-08-28 13:00:00+00:00,266.67,2012,3,8,Tuesday
-9,USD,2012-08-28 09:59:00,-11,better,Low,Richmond Manufacturing Index,-17,accurate,35,2012-08-28 13:59:00+00:00,18.18,2012,3,8,Tuesday
60.6,USD,2012-08-28 10:00:00,65.8,worse,High,CB Consumer Confidence,65.4,worse,35,2012-08-28 14:00:00+00:00,-7.9,2012,3,8,Tuesday
1.7%,USD,2012-08-29 08:30:00,1.7%,accurate,High,Prelim GDP q/q,1.5%,accurate,35,2012-08-29 12:30:00+00:00,0.0,2012,3,8,Wednesday
1.6%,USD,2012-08-29 08:30:00,1.6%,accurate,Low,Prelim GDP Price Index q/q,1.6%,accurate,35,2012-08-29 12:30:00+00:00,0.0,2012,3,8,Wednesday
2.4%,USD,2012-08-29 10:00:00,1.1%,better,High,Pending Home Sales m/m,-1.4%,accurate,35,2012-08-29 14:00:00+00:00,118.18,2012,3,8,Wednesday
3.8M,USD,2012-08-29 10:30:00,-1.1M,accurate,Medium,Crude Oil Inventories,-5.4M,accurate,35,2012-08-29 14:30:00+00:00,445.45,2012,3,8,Wednesday
374K,USD,2012-08-30 08:30:00,370K,accurate,High,Unemployment Claims,374K,accurate,35,2012-08-30 12:30:00+00:00,1.08,2012,3,8,Thursday
0.0%,USD,2012-08-30 08:30:00,0.1%,worse,Medium,Core PCE Price Index m/m,0.2%,accurate,35,2012-08-30 12:30:00+00:00,-100.0,2012,3,8,Thursday
0.4%,USD,2012-08-30 08:30:00,0.4%,accurate,Medium,Personal Spending m/m,0.0%,accurate,35,2012-08-30 12:30:00+00:00,0.0,2012,3,8,Thursday
0.3%,USD,2012-08-30 08:30:00,0.4%,worse,Low,Personal Income m/m,0.3%,worse,35,2012-08-30 12:30:00+00:00,-25.0,2012,3,8,Thursday
66B,USD,2012-08-30 10:30:00,65B,accurate,Low,Natural Gas Storage,47B,accurate,35,2012-08-30 14:30:00+00:00,1.54,2012,3,8,Thursday
53.0,USD,2012-08-31 09:45:00,53.6,worse,Medium,Chicago PMI,53.7,accurate,35,2012-08-31 13:45:00+00:00,-1.12,2012,3,8,Friday
74.3,USD,2012-08-31 09:55:00,73.7,better,Medium,Revised UoM Consumer Sentiment,73.6,accurate,35,2012-08-31 13:55:00+00:00,0.81,2012,3,8,Friday
2.8%,USD,2012-08-31 10:00:00,1.7%,better,Medium,Factory Orders m/m,-0.5%,accurate,35,2012-08-31 14:00:00+00:00,64.71,2012,3,8,Friday
4.47M,USD,2012-08-22 09:20:00,4.52M,worse,High,Existing Home Sales,4.37M,accurate,34,2012-08-22 13:20:00+00:00,-1.11,2012,3,8,Wednesday
-5.4M,USD,2012-08-22 10:30:00,0.1M,accurate,Medium,Crude Oil Inventories,-3.7M,accurate,34,2012-08-22 14:30:00+00:00,-5500.0,2012,3,8,Wednesday
372K,USD,2012-08-23 08:30:00,365K,worse,High,Unemployment Claims,368K,accurate,34,2012-08-23 12:30:00+00:00,1.92,2012,3,8,Thursday
51.9,USD,2012-08-23 09:00:00,51.3,better,Medium,Flash Manufacturing PMI,51.4,worse,34,2012-08-23 13:00:00+00:00,1.17,2012,3,8,Thursday
372K,USD,2012-08-23 10:00:00,363K,better,High,New Home Sales,359K,better,34,2012-08-23 14:00:00+00:00,2.48,2012,3,8,Thursday
0.7%,USD,2012-08-23 10:00:00,0.6%,better,Low,HPI m/m,0.6%,worse,34,2012-08-23 14:00:00+00:00,16.67,2012,3,8,Thursday
47B,USD,2012-08-23 10:30:00,40B,accurate,Low,Natural Gas Storage,20B,accurate,34,2012-08-23 14:30:00+00:00,17.5,2012,3,8,Thursday
-0.4%,USD,2012-08-24 08:30:00,0.5%,worse,High,Core Durable Goods Orders m/m,-2.2%,worse,34,2012-08-24 12:30:00+00:00,-180.0,2012,3,8,Friday
4.2%,USD,2012-08-24 08:30:00,2.6%,better,Medium,Durable Goods Orders m/m,1.6%,accurate,34,2012-08-24 12:30:00+00:00,61.54,2012,3,8,Friday
91.2,USD,2012-08-14 07:30:00,91.7,accurate,Low,NFIB Small Business Index,91.4,accurate,33,2012-08-14 11:30:00+00:00,-0.55,2012,3,8,Tuesday
0.8%,USD,2012-08-14 08:30:00,0.4%,better,High,Core Retail Sales m/m,-0.8%,worse,33,2012-08-14 12:30:00+00:00,100.0,2012,3,8,Tuesday
0.3%,USD,2012-08-14 08:30:00,0.3%,accurate,High,PPI m/m,0.1%,accurate,33,2012-08-14 12:30:00+00:00,0.0,2012,3,8,Tuesday
0.8%,USD,2012-08-14 08:30:00,0.3%,better,High,Retail Sales m/m,-0.7%,worse,33,2012-08-14 12:30:00+00:00,166.67,2012,3,8,Tuesday
0.4%,USD,2012-08-14 08:30:00,0.2%,better,Medium,Core PPI m/m,0.2%,accurate,33,2012-08-14 12:30:00+00:00,100.0,2012,3,8,Tuesday
0.1%,USD,2012-08-14 10:00:00,0.2%,better,Medium,Business Inventories m/m,0.3%,accurate,33,2012-08-14 14:00:00+00:00,-50.0,2012,3,8,Tuesday
45.6,USD,2012-08-14 10:00:00,47.4,worse,Low,IBD/TIPP Economic Optimism,47.0,accurate,33,2012-08-14 14:00:00+00:00,-3.8,2012,3,8,Tuesday
0.1%,USD,2012-08-15 08:30:00,0.2%,worse,High,Core CPI m/m,0.2%,accurate,33,2012-08-15 12:30:00+00:00,-50.0,2012,3,8,Wednesday
0.0%,USD,2012-08-15 08:30:00,0.2%,worse,Medium,CPI m/m,0.0%,accurate,33,2012-08-15 12:30:00+00:00,-100.0,2012,3,8,Wednesday
-5.9,USD,2012-08-15 08:30:00,6.6,worse,Medium,Empire State Manufacturing Index,7.4,accurate,33,2012-08-15 12:30:00+00:00,-189.39,2012,3,8,Wednesday
9.3B,USD,2012-08-15 09:00:00,41.5B,worse,Medium,TIC Long-Term Purchases,55.9B,accurate,33,2012-08-15 13:00:00+00:00,-77.59,2012,3,8,Wednesday
79.3%,USD,2012-08-15 09:15:00,79.3%,accurate,Medium,Capacity Utilization Rate,78.9%,accurate,33,2012-08-15 13:15:00+00:00,0.0,2012,3,8,Wednesday
0.6%,USD,2012-08-15 09:15:00,0.5%,better,Medium,Industrial Production m/m,0.1%,worse,33,2012-08-15 13:15:00+00:00,20.0,2012,3,8,Wednesday
37,USD,2012-08-15 10:00:00,34,better,Low,NAHB Housing Market Index,35,accurate,33,2012-08-15 14:00:00+00:00,8.82,2012,3,8,Wednesday
-3.7M,USD,2012-08-15 10:30:00,-2.0M,accurate,Medium,Crude Oil Inventories,-3.7M,accurate,33,2012-08-15 14:30:00+00:00,-85.0,2012,3,8,Wednesday
0.81M,USD,2012-08-16 08:30:00,0.77M,better,High,Building Permits,0.76M,accurate,33,2012-08-16 12:30:00+00:00,5.19,2012,3,8,Thursday
366K,USD,2012-08-16 08:30:00,365K,accurate,High,Unemployment Claims,364K,accurate,33,2012-08-16 12:30:00+00:00,0.27,2012,3,8,Thursday
0.75M,USD,2012-08-16 08:30:00,0.76M,accurate,Medium,Housing Starts,0.75M,accurate,33,2012-08-16 12:30:00+00:00,-1.32,2012,3,8,Thursday
-7.1,USD,2012-08-16 10:00:00,-4.7,worse,High,Philly Fed Manufacturing Index,-12.9,accurate,33,2012-08-16 14:00:00+00:00,-51.06,2012,3,8,Thursday
20B,USD,2012-08-16 10:30:00,25B,accurate,Low,Natural Gas Storage,24B,accurate,33,2012-08-16 14:30:00+00:00,-20.0,2012,3,8,Thursday
73.6,USD,2012-08-17 09:55:00,72.5,better,High,Prelim UoM Consumer Sentiment,72.3,accurate,33,2012-08-17 13:55:00+00:00,1.52,2012,3,8,Friday
0.4%,USD,2012-08-17 10:00:00,0.2%,better,Low,CB Leading Index m/m,-0.4%,worse,33,2012-08-17 14:00:00+00:00,100.0,2012,3,8,Friday
3.76M,USD,2012-08-07 10:00:00,3.72M,accurate,Low,JOLTS Job Openings,3.66M,accurate,32,2012-08-07 14:00:00+00:00,1.08,2012,3,8,Tuesday
6.5B,USD,2012-08-07 15:00:00,11.5B,worse,Low,Consumer Credit m/m,16.7B,worse,32,2012-08-07 19:00:00+00:00,-43.48,2012,3,8,Tuesday
